PG,SG,SF,PF,C,G,F,UTIL
Bam Adebayo,Kelly Oubre Jr.,Kyle Filipowski,Matas Buzelis,Quentin Grimes,Trae Young,Tyler Herro,Zach Collins
Anfernee Simons,Kyle Filipowski,Matas Buzelis,Pascal Siakam,Toumani Camara,Trae Young,Tyrese Haliburton,Zach Collins
Cameron Johnson,Ivica Zubac,Johnny Juzang,KJ Martin,Naz Reid,Tyrese Haliburton,Tyrese Maxey,Zach Collins
Deni Avdija,Ivica Zubac,Keyonte George,Lonzo Ball,Matas Buzelis,Pascal Siakam,Tyrese Maxey,Zach Collins
KJ Martin,Kyle Filipowski,Pascal Siakam,Paul George,Quentin Grimes,Trae Young,Tyler Herro,Zach Collins
Cameron Johnson,Johnny Juzang,Kyle Filipowski,Michael Porter Jr.,Pascal Siakam,Trae Young,Tyler Herro,Zach Collins
Cameron Johnson,Isaiah Collier,Johnny Juzang,KJ Martin,Matas Buzelis,Nikola Jokic,Trae Young,Zach Collins
Brice Sensabaugh,Cameron Johnson,Donovan Clingan,Jamal Murray,James Harden,Jerami Grant,Tyrese Haliburton,Zach Collins
Brice Sensabaugh,Cameron Johnson,Isaiah Collier,KJ Martin,Kelly Oubre Jr.,Nikola Jokic,Tyler Herro,Zach Collins
Cameron Johnson,James Harden,KJ Martin,Kyle Filipowski,Lonzo Ball,Pascal Siakam,Trae Young,Zach Collins
Deni Avdija,KJ Martin,Keyonte George,Kris Dunn,Matas Buzelis,Nikola Jokic,Tyler Herro,Zach Collins
Cameron Johnson,Kelly Oubre Jr.,Kyle Filipowski,Matas Buzelis,Naz Reid,Tyler Herro,Tyrese Maxey,Zach Collins
Cameron Johnson,Ivica Zubac,Jerami Grant,Keyonte George,Lonzo Ball,Pascal Siakam,Tyler Herro,Zach Collins
Brice Sensabaugh,Cameron Johnson,Isaiah Collier,KJ Martin,Kris Dunn,Nikola Jokic,Trae Young,Zach Collins
Anthony Edwards,Isaiah Collier,Ivica Zubac,James Harden,Jerami Grant,Johnny Juzang,Matas Buzelis,Zach Collins
