PG,SG,SF,PF,C,G,F,UTIL
Karlo Matkovic,Kyle Kuzma,LOCKED,Max Christie,Michael Porter Jr.,Naji Marshall,Trey Murphy III,Tyus Jones
AJ Green,Dante Exum,Franz Wagner,Kevin Durant,LOCKED,Moses Brown,Trey Murphy III,Tyus Jones
CJ McCollum,Gary Payton II,Jonathan Isaac,Kevin Durant,Kyrie Irving,Max Christie,Miles Bridges,Naji Marshall
AJ Green,Aaron Gordon,Grayson Allen,LOCKED,LOCKED,Naji Marshall,Nikola Jokic,Tyus Jones
Aaron Gordon,Devin Booker,Gary Trent Jr.,Giannis Antetokounmpo,Karlo Matkovic,LOCKED,Max Christie,Naji Marshall
AJ Green,Cole Anthony,Devin Booker,Kevin Durant,Kyle Kuzma,LOCKED,Naji Marshall,Tyus Jones
Bol Bol,Brook Lopez,Giannis Antetokounmpo,Grayson Allen,Jamal Murray,LOCKED,Nick Smith Jr.,Olivier-Maxence Prosper
Bol Bol,Brook Lopez,Gary Payton II,LOCKED,LOCKED,Naji Marshall,Russell Westbrook,Trey Murphy III
Damion Baugh,Devin Booker,Karlo Matkovic,Kyle Kuzma,LOCKED,Trey Murphy III,Wendell Carter Jr.,Zion Williamson
AJ Green,Aaron Gordon,Devin Booker,LOCKED,Max Christie,Michael Porter Jr.,Miles Bridges,Naji Marshall
AJ Green,Aaron Gordon,Giannis Antetokounmpo,KJ Simpson,Klay Thompson,LOCKED,Naji Marshall,Trey Murphy III
AJ Green,Aaron Gordon,Kevin Durant,Klay Thompson,LOCKED,Max Christie,Naji Marshall,Wendell Carter Jr.
Bol Bol,Grayson Allen,Jamal Murray,LOCKED,LOCKED,Nikola Jokic,Royce O'Neale,Tristan da Silva
Aaron Gordon,Giannis Antetokounmpo,Grayson Allen,Kevon Looney,Klay Thompson,LOCKED,Max Christie,Tyus Jones
Devin Booker,Gary Payton II,Karlo Matkovic,Kyle Kuzma,LOCKED,Moses Brown,Yves Missi,Zion Williamson
Aaron Gordon,Jamal Murray,Karlo Matkovic,LOCKED,Max Christie,Naji Marshall,Russell Westbrook,Trey Murphy III
Jonathan Isaac,LOCKED,LOCKED,Miles Bridges,Nick Smith Jr.,Russell Westbrook,Trey Murphy III,Tristan da Silva
Aaron Gordon,Bol Bol,Giannis Antetokounmpo,Jamal Murray,Karlo Matkovic,Max Christie,Trey Murphy III,Tyus Jones
AJ Green,Devin Booker,Karlo Matkovic,LOCKED,LOCKED,Nick Smith Jr.,Paolo Banchero,Trey Murphy III
AJ Green,Devin Booker,KJ Simpson,Kevin Durant,LOCKED,Max Christie,Naji Marshall,Wendell Carter Jr.
Christian Braun,Devin Booker,Gary Payton II,Kevin Durant,Kevon Looney,LOCKED,Max Christie,Naji Marshall
Gary Payton II,KJ Simpson,Kevin Durant,LOCKED,LOCKED,LOCKED,Michael Porter Jr.,Moses Brown
Brook Lopez,Jonathan Isaac,KJ Simpson,LOCKED,LOCKED,LOCKED,LOCKED,Max Christie
Devin Booker,Giannis Antetokounmpo,Jose Alvarado,Karlo Matkovic,Kevin Durant,LOCKED,Max Christie,Moses Brown
