PG,SG,SF,PF,C,G,F,UTIL
Jamal Murray,Kevin Durant,Klay Thompson,LOCKED,Michael Porter Jr.,Moses Brown,Naji Marshall,Nick Richards
Bol Bol,LOCKED,Max Christie,Miles Bridges,Moses Brown,Naji Marshall,Nick Smith Jr.,Trey Murphy III
Aaron Gordon,Jamal Murray,Karlo Matkovic,LOCKED,LOCKED,Moses Brown,Royce O'Neale,Wendell Carter Jr.
AJ Green,Bol Bol,Giannis Antetokounmpo,LOCKED,Michael Porter Jr.,Naji Marshall,Royce O'Neale,Spencer Dinwiddie
Aaron Gordon,Bol Bol,Brandin Podziemski,KJ Simpson,Klay Thompson,LOCKED,Miles Bridges,Spencer Dinwiddie
Bol Bol,Dante Exum,Giannis Antetokounmpo,Jose Alvarado,LOCKED,Moses Brown,Naji Marshall,Nick Richards
CJ McCollum,Jamal Murray,Jordan Hawkins,LOCKED,Michael Porter Jr.,Moses Brown,Moussa Diabate,Trey Murphy III
Bol Bol,Dante Exum,Grayson Allen,Jamal Murray,Kevin Durant,LOCKED,Moses Brown,Russell Westbrook
Aaron Gordon,Bol Bol,Brook Lopez,KJ Simpson,Klay Thompson,LOCKED,Moses Moody,Zion Williamson
Aaron Gordon,Bol Bol,Brook Lopez,Christian Braun,Jamal Murray,Karlo Matkovic,Klay Thompson,LOCKED
Bol Bol,Jordan Hawkins,KJ Simpson,Karlo Matkovic,LOCKED,LOCKED,Nick Richards,Nikola Jokic
Aaron Gordon,Bol Bol,Damian Lillard,Jose Alvarado,LOCKED,Moses Brown,Naji Marshall,Trey Murphy III
Aaron Gordon,CJ McCollum,Karlo Matkovic,LOCKED,Michael Porter Jr.,Miles Bridges,Moses Brown,Nick Smith Jr.
Jose Alvarado,KJ Simpson,Karlo Matkovic,LOCKED,Max Christie,Miles Bridges,Moses Brown,Zion Williamson
Aaron Gordon,Bol Bol,Damian Lillard,LOCKED,LOCKED,Naji Marshall,Russell Westbrook,Yves Missi
Bol Bol,Jamal Murray,LOCKED,Max Christie,Moses Brown,Royce O'Neale,Trey Murphy III,Zion Williamson
Bol Bol,Jose Alvarado,Klay Thompson,LOCKED,Miles Bridges,Naji Marshall,Nick Richards,Wendell Carter Jr.
Aaron Gordon,Jamal Murray,Jose Alvarado,Kevin Durant,Max Christie,Spencer Dinwiddie,Tyus Jones,Zion Williamson
Aaron Gordon,Devin Booker,Jamal Murray,LOCKED,Mason Plumlee,Moses Brown,Naji Marshall,Royce O'Neale
Karlo Matkovic,LOCKED,LOCKED,Michael Porter Jr.,Naji Marshall,Nick Richards,Royce O'Neale,Russell Westbrook
Aaron Gordon,Grayson Allen,LOCKED,LOCKED,Max Christie,Michael Porter Jr.,Moses Brown,Zion Williamson
Aaron Gordon,Brook Lopez,Jamal Murray,LOCKED,LOCKED,LOCKED,Moses Brown,Royce O'Neale
Aaron Gordon,Brook Lopez,Grayson Allen,Jamal Murray,LOCKED,LOCKED,LOCKED,Moses Brown
Klay Thompson,LOCKED,LOCKED,LOCKED,Michael Porter Jr.,Moussa Diabate,Russell Westbrook,Yves Missi
Jamal Murray,Karlo Matkovic,Klay Thompson,LOCKED,LOCKED,Moses Brown,Naji Marshall,Nick Smith Jr.
Aaron Gordon,CJ McCollum,Karlo Matkovic,LOCKED,LOCKED,Michael Porter Jr.,Naji Marshall,Trey Murphy III
Aaron Gordon,LOCKED,LOCKED,Moses Brown,Naji Marshall,Nick Richards,Olivier-Maxence Prosper,Trey Murphy III
Aaron Gordon,Jamal Murray,Kevin Durant,LOCKED,LOCKED,Moses Brown,Moussa Diabate,Spencer Dinwiddie
Aaron Gordon,Bol Bol,Brook Lopez,Christian Braun,Klay Thompson,LOCKED,LOCKED,Spencer Dinwiddie
AJ Green,Grayson Allen,KJ Simpson,Kevin Durant,LOCKED,LOCKED,Max Christie,Moses Brown
Aaron Gordon,Jamal Murray,Jose Alvarado,Kevin Durant,Klay Thompson,LOCKED,Moses Brown,Nick Richards
Bol Bol,Dante Exum,Grayson Allen,Jamal Murray,Kevin Durant,Klay Thompson,LOCKED,Moses Brown
Grayson Allen,Karlo Matkovic,LOCKED,LOCKED,Miles Bridges,Moses Brown,Naji Marshall,Royce O'Neale
Bol Bol,Jamal Murray,Jordan Hawkins,LOCKED,Miles Bridges,Naji Marshall,Nick Richards,Royce O'Neale
Aaron Gordon,Giannis Antetokounmpo,Jordan Hawkins,Klay Thompson,LOCKED,Mason Plumlee,Nick Richards,Royce O'Neale
Aaron Gordon,Christian Braun,Jose Alvarado,LOCKED,LOCKED,LOCKED,Naji Marshall,Nick Smith Jr.
AJ Green,Bol Bol,Dante Exum,Jose Alvarado,LOCKED,LOCKED,Moses Brown,Trey Murphy III
Bol Bol,Jamal Murray,Kevin Durant,LOCKED,LOCKED,Naji Marshall,Spencer Dinwiddie,Yves Missi
Devin Booker,Karlo Matkovic,Kevin Durant,LOCKED,LOCKED,Moses Brown,Royce O'Neale,Yves Missi
Aaron Gordon,Grayson Allen,LOCKED,LOCKED,LOCKED,Moses Brown,Royce O'Neale,Spencer Dinwiddie
