G1,G2,G3,G4,G5,G6
Aaron Rai,Adam Svensson,Ben Silverman,Carson Young,Kevin Yu,Michael Kim
Beau Hossler,Ben Griffin,C.T. Pan,Erik Van Rooyen,Matt Wallace,Thorbjorn Olesen
Aaron Rai,Antoine Rozner,Beau Hossler,Joe Highsmith,Kevin Yu,Thorbjorn Olesen
Adam Svensson,Ben Griffin,Kevin Yu,Matt Wallace,Patrick Rodgers,Ricky Castillo
Beau Hossler,C.T. Pan,Michael Kim,Niklas Norgaard Moller,Ryan Fox,Vincent Norrman
Aaron Rai,Beau Hossler,Emiliano Grillo,Joe Highsmith,Kevin Yu,Niklas Norgaard Moller
Adam Svensson,C.T. Pan,Kevin Yu,Matt Wallace,Michael Thorbjornsen,Stephan Jaeger
Aaron Rai,Kevin Yu,Kris Ventura,Matt Wallace,Niklas Norgaard Moller,Ryan Fox
Aaron Rai,Akshay Bhatia,Antoine Rozner,Ben Silverman,Nate Lashley,Niklas Norgaard Moller
Beau Hossler,Ben Griffin,C.T. Pan,Carson Young,Joe Highsmith,Kevin Yu
Aaron Rai,Adam Svensson,Antoine Rozner,Carson Young,Kevin Yu,Michael Kim
Aaron Rai,Beau Hossler,Joe Highsmith,Matt Wallace,Ryan Fox,Thorbjorn Olesen
Ben Griffin,Joe Highsmith,Justin Lower,Matt Wallace,Patrick Rodgers,Ryan Fox
Akshay Bhatia,Emiliano Grillo,Matti Schmid,Michael Kim,Michael Thorbjornsen,Niklas Norgaard Moller
Adam Svensson,Joe Highsmith,Michael Kim,Patrick Rodgers,Sam Stevens,Will Gordon
Ben Griffin,Carson Young,Kevin Yu,Matti Schmid,Patrick Rodgers,Ryan Fox
Beau Hossler,C.T. Pan,Carson Young,Erik Van Rooyen,Michael Kim,Thorbjorn Olesen
Aaron Rai,Harry Hall,Matt Wallace,Matti Schmid,Niklas Norgaard Moller,Ryan Fox
Adam Svensson,Akshay Bhatia,Frankie Capan,Kevin Yu,Matt Wallace,Ryan Fox
Ben Griffin,Carson Young,Joel Dahmen,Kevin Yu,Matt Wallace,Patrick Rodgers
Erik Van Rooyen,Matti Schmid,Michael Kim,Patrick Rodgers,Sam Stevens,Will Gordon
Antoine Rozner,Beau Hossler,Joe Highsmith,Matti Schmid,Sam Stevens,Stephan Jaeger
Antoine Rozner,Beau Hossler,Ben Griffin,Ben Silverman,Michael Kim,Ryan Fox
Akshay Bhatia,Andrew Putnam,Ben Silverman,Carson Young,Niklas Norgaard Moller,Ryan Fox
Beau Hossler,C.T. Pan,Michael Kim,Niklas Norgaard Moller,Thorbjorn Olesen,Will Gordon
Antoine Rozner,Ben Griffin,Harry Hall,Matt Wallace,Niklas Norgaard Moller,Thorbjorn Olesen
Antoine Rozner,Carson Young,Kevin Yu,Kris Ventura,Michael Kim,Patrick Rodgers
Carson Young,Joe Highsmith,Kevin Yu,Kris Ventura,Michael Kim,Sam Stevens
C.T. Pan,Frankie Capan,Joe Highsmith,Patrick Rodgers,Ryan Fox,Sam Stevens
Antoine Rozner,Joe Highsmith,Kevin Yu,Kris Ventura,Patrick Rodgers,Sam Stevens
Beau Hossler,Ben Griffin,Joel Dahmen,Kevin Yu,Matt Wallace,Niklas Norgaard Moller
Aaron Rai,Antoine Rozner,Kevin Yu,Kyoung-Hoon Lee,Matt Wallace,Patrick Rodgers
Beau Hossler,Erik Van Rooyen,Harry Hall,Matt Wallace,Matti Schmid,Michael Kim
Akshay Bhatia,Andrew Putnam,Kevin Yu,Matt Wallace,Matti Schmid,Michael Thorbjornsen
C.T. Pan,Joe Highsmith,Niklas Norgaard Moller,Ryan Fox,Sam Stevens,Thorbjorn Olesen
Beau Hossler,Kris Ventura,Matt Wallace,Michael Kim,Niklas Norgaard Moller,Ryan Fox
Joe Highsmith,Justin Lower,Kevin Yu,Matt Wallace,Michael Kim,Thorbjorn Olesen
Adam Svensson,Beau Hossler,C.T. Pan,Matt Wallace,Michael Kim,Ryan Fox
C.T. Pan,Carson Young,Joe Highsmith,Michael Kim,Michael Thorbjornsen,Sam Stevens
Antoine Rozner,Ben Silverman,Carson Young,Kevin Yu,Michael Kim,Patrick Rodgers
C.T. Pan,Carson Young,Kevin Yu,Matt Wallace,Michael Kim,Ryan Fox
C.T. Pan,Joe Highsmith,Kevin Yu,Matt Wallace,Ryan Fox,Sam Stevens
