PG,SG,SF,PF,C,G,F,UTIL
Bam Adebayo,Chris Paul,De'Aaron Fox,Franz Wagner,Kevin Porter Jr.,Kyle Kuzma,Orlando Robinson,Wendell Carter Jr.
Jalen Duren,Kevin Porter Jr.,Kyle Kuzma,Kyrie Irving,Orlando Robinson,Paolo Banchero,RJ Barrett,Ryan Rollins
AJ Green,Kevin Porter Jr.,Kyle Kuzma,Kyrie Irving,Paolo Banchero,RJ Barrett,Tobias Harris,Wendell Carter Jr.
AJ Green,Bam Adebayo,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Kyrie Irving,Paolo Banchero,Wendell Carter Jr.
Jalen Duren,Jordan Poole,Kevin Porter Jr.,Kyle Kuzma,Kyrie Irving,RJ Barrett,Ryan Rollins,Santi Aldama
Alexandre Sarr,Bam Adebayo,Cade Cunningham,Kevin Porter Jr.,Orlando Robinson,PJ Washington,RJ Barrett,Ryan Rollins
AJ Green,Jalen Duren,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,PJ Washington,Ryan Rollins,Scottie Barnes
Dante Exum,De'Aaron Fox,Kevin Porter Jr.,Kyle Kuzma,Paolo Banchero,RJ Barrett,Tobias Harris,Wendell Carter Jr.
AJ Green,Devin Vassell,Donovan Mitchell,Jalen Duren,Khris Middleton,Kyle Kuzma,Paolo Banchero,Wendell Carter Jr.
Bam Adebayo,Gary Trent Jr.,Immanuel Quickley,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Kyrie Irving,Wendell Carter Jr.
AJ Green,Ausar Thompson,Chris Paul,Franz Wagner,Karl-Anthony Towns,Kevin Porter Jr.,Paolo Banchero,Wendell Carter Jr.
Cade Cunningham,Devin Vassell,Donovan Mitchell,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Santi Aldama,Wendell Carter Jr.
Alexandre Sarr,Bam Adebayo,Cade Cunningham,De'Aaron Fox,Gary Trent Jr.,Kevin Porter Jr.,Khris Middleton,Ryan Rollins
Chris Paul,Darius Garland,De'Aaron Fox,Immanuel Quickley,Khris Middleton,Paolo Banchero,Santi Aldama,Wendell Carter Jr.
AJ Green,De'Aaron Fox,Jeremy Sochan,Jordan Poole,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Paolo Banchero
